,text,Label,Transcript,Canonical,Error
12,ADD A FEW CARAWAY SEEDS  TOO  IF YOU'D LIKE ,TRAIN/DR4/MCSS0/SI750.wav,AE D AH F Y UW K AE R AH W EY S IY D Z T UW IH F Y UW D L AY K,AE D AH F Y UW K AE R AH W EY S IY D Z T UW IH F Y UW D L AY K,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
13,THERE IS LITTLE DOUBT THAT THE STUDENTS BENEFIT FROM VOCATIONAL EDUCATION ,TRAIN/DR4/MCSS0/SI1380.wav,DH EH R IH Z L IH T AH L D AW T DH AE T DH AH S T UW D AH N T S B EH N AH F IH T F R AH M V OW K EY SH AH N AH L EH JH AH K EY SH AH N,DH EH R IH Z L IH T AH L D AW T DH AE T DH AH S T UW D AH N T S B EH N AH F IH T F R AH M V OW K EY SH AH N AH L EH JH AH K EY SH AH N,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
14,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT ,TRAIN/DR4/MCSS0/SA2.wav,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
15,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR ,TRAIN/DR4/MCSS0/SA1.wav,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
16,HE PICKED UP NINE PAIRS OF SOCKS FOR EACH BROTHER ,TRAIN/DR4/MCSS0/SX390.wav,HH IY P IH K T AH P N AY N P EH R Z AH V S AA K S F AO R IY CH B R AH DH ER,HH IY P IH K T AH P N AY N P EH R Z AH V S AA K S F AO R IY CH B R AH DH ER,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
17,GET A CALICO CAT TO KEEP ,TRAIN/DR4/MCSS0/SX30.wav,G EH T AH K AE L AH K OW K AE T T UW K IY P,G EH T AH K AE L AH K OW K AE T T UW K IY P,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
18,THE DEAD SPIRITS OCCUPIED A PROMINENT PLACE IN EVERY HOPE AND IN EVERY FEAR ,TRAIN/DR4/MCSS0/SI688.wav,DH AH D EH D S P IH R IH T S AA K Y AH P AY D AH P R AA M AH N AH N T P L EY S IH N EH V ER IY HH OW P AH N D IH N EH V ER IY F IH R,DH AH D EH D S P IH R IH T S AA K Y AH P AY D AH P R AA M AH N AH N T P L EY S IH N EH V ER IY HH OW P AH N D IH N EH V ER IY F IH R,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
19,THE COYOTE  BOBCAT  AND HYENA ARE WILD ANIMALS ,TRAIN/DR4/MCSS0/SX120.wav,DH AH K AY OW T IY B AA B K AE T AH N D HH AY IY N AH AA R W AY L D AE N AH M AH L Z,DH AH K AY OW T IY B AA B K AE T AH N D HH AY IY N AH AA R W AY L D AE N AH M AH L Z,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
20,WITHIN A SYSTEM  HOWEVER  THE AUTONOMY OF EACH MEMBER LIBRARY IS PRESERVED ,TRAIN/DR4/MCDR0/SI524.wav,W IH DH IH N AH S IH S T AH M HH AW EH V ER DH AH AO T AA N AH M IY AH V IY CH M EH M B ER L AY B R EH R IY IH Z P R AH Z ER V D,W IH DH IH N AH S IH S T AH M HH AW EH V ER DH AH AO T AA N AH M IY AH V IY CH M EH M B ER L AY B R EH R IY IH Z P R AH Z ER V D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
21,CURIOSITY AND MEDIOCRITY SELDOM COEXIST ,TRAIN/DR4/MCDR0/SX164.wav,K Y UH R IY AA S AH T IY AH N D M IY D IY AA K R AH T IY S EH L D AH M K OW AH G Z IH S T,K Y UH R IY AA S AH T IY AH N D M IY D IY AA K R AH T IY S EH L D AH M K OW AH G Z IH S T,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
22,THERE WAS A GRUNT  CURIOUSLY INARTICULATE  LIKE THAT OF AN ANIMAL IN PAIN ,TRAIN/DR4/MCDR0/SI1784.wav,DH EH R W AA Z AH G R AH N T K Y UH R IY AH S L IY IH N AA R T IH K Y AH L AH T L AY K DH AE T AH V AE N AE N AH M AH L IH N P EY N,DH EH R W AA Z AH G R AH N T K Y UH R IY AH S L IY IH N AA R T IH K Y AH L AH T L AY K DH AE T AH V AE N AE N AH M AH L IH N P EY N,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
23,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT ,TRAIN/DR4/MCDR0/SA2.wav,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
24,ONLY INCOMPLETE  IMPERFECT THINGS MOVE TOWARDS WHAT THEY LACK ,TRAIN/DR4/MCDR0/SI1154.wav,OW N L IY IH N K AH M P L IY T IH M P ER F IH K T TH IH NG Z M UW V T AH W AO R D Z W AH T DH EY L AE K,OW N L IY IH N K AH M P L IY T IH M P ER F IH K T TH IH NG Z M UW V T AH W AO R D Z W AH T DH EY L AE K,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
25,AN OFFICIAL DEADLINE CANNOT BE POSTPONED ,TRAIN/DR4/MCDR0/SX74.wav,AE N AH F IH SH AH L D EH D L AY N K AE N AA T B IY P OW S T P OW N D,AE N AH F IH SH AH L D EH D L AY N K AE N AA T B IY P OW S T P OW N D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
26,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR ,TRAIN/DR4/MCDR0/SA1.wav,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
27,I KNOW I DIDN'T MEET HER EARLY ENOUGH ,TRAIN/DR4/MCDR0/SX344.wav,AY N OW AY D IH D AH N T M IY T HH ER ER L IY IH N AH F,AY N OW AY D IH D AH N T M IY T HH ER ER L IY IH N AH F,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
28,EACH STAG SURELY FINDS A BIG FAWN ,TRAIN/DR4/MCDR0/SX434.wav,IY CH S T AE G SH UH R L IY F AY N D Z AH B IH G F AO N,IY CH S T AE G SH UH R L IY F AY N D Z AH B IH G F AO N,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
29,DO THEY ALLOW ATHEISTS IN CHURCH ,TRAIN/DR4/MCDR0/SX254.wav,D UW DH EY AH L AW EY TH IY AH S T S IH N CH ER CH,D UW DH EY AH L AW EY TH IY AH S T S IH N CH ER CH,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
30,HE WAS  THUS  AN EARLY AND SPECTACULAR VICTIM ,TRAIN/DR4/MLEL0/SI1246.wav,HH IY W AA Z DH AH S AE N ER L IY AH N D S P EH K T AE K Y AH L ER V IH K T IH M,HH IY W AA Z DH AH S AE N ER L IY AH N D S P EH K T AE K Y AH L ER V IH K T IH M,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
31,A VOICE SPOKE NEAR AT HAND ,TRAIN/DR4/MLEL0/SI1876.wav,AH V OY S S P OW K N IH R AE T HH AE N D,AH V OY S S P OW K N IH R AE T HH AE N D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
32,BIOLOGISTS USE RADIOACTIVE ISOTOPES TO STUDY MICROORGANISMS ,TRAIN/DR4/MLEL0/SX166.wav,B AY AA L AH JH IH S T S Y UW S R EY D IY OW AE K T IH V AY S AH T OW P S T UW S T AH D IY M AY K R OW AO R G AH N IH Z AH M Z,B AY AA L AH JH IH S T S Y UW S R EY D IY OW AE K T IH V AY S AH T OW P S T UW S T AH D IY M AY K R OW AO R G AH N IH Z AH M Z,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
33,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT ,TRAIN/DR4/MLEL0/SA2.wav,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
34,GENTLY PLACE JIM'S FOAM SCULPTURE IN THE BOX ,TRAIN/DR4/MLEL0/SX76.wav,JH EH N T L IY P L EY S JH IH M Z F OW M S K AH L P CH ER IH N DH AH B AA K S,JH EH N T L IY P L EY S JH IH M Z F OW M S K AH L P CH ER IH N DH AH B AA K S,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
35,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR ,TRAIN/DR4/MLEL0/SA1.wav,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
36,PLEASE SING JUST THE CLUB THEME ,TRAIN/DR4/MLEL0/SX436.wav,P L IY Z S IH NG JH AH S T DH AH K L AH B TH IY M,P L IY Z S IH NG JH AH S T DH AH K L AH B TH IY M,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
37,THE BARRACUDA RECOILED FROM THE SERPENT'S POISONOUS FANGS ,TRAIN/DR4/MLEL0/SX346.wav,DH AH B EH R AH K UW D AH R IY K OY L D F R AH M DH AH S ER P AH N T S P OY Z AH N AH S F AE NG Z,DH AH B EH R AH K UW D AH R IY K OY L D F R AH M DH AH S ER P AH N T S P OY Z AH N AH S F AE NG Z,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
38,HE INJECTED MORE VITALITY INTO THE SCORE THAN IT HAS REVEALED IN MANY YEARS ,TRAIN/DR4/MLEL0/SI616.wav,HH IY IH N JH EH K T AH D M AO R V AY T AE L AH T IY IH N T UW DH AH S K AO R DH AE N IH T HH AE Z R IH V IY L D IH N M EH N IY Y IH R Z,HH IY IH N JH EH K T AH D M AO R V AY T AE L AH T IY IH N T UW DH AH S K AO R DH AE N IH T HH AE Z R IH V IY L D IH N M EH N IY Y IH R Z,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
39,THE IRATE ACTOR STOMPED AWAY IDIOTICALLY ,TRAIN/DR4/MLEL0/SX256.wav,DH AH AY R EY T AE K T ER S T AA M P T AH W EY IH D IY AA T IH K L IY,DH AH AY R EY T AE K T ER S T AA M P T AH W EY IH D IY AA T IH K L IY,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
40,TOFU IS MADE FROM PROCESSED SOYBEANS ,TRAIN/DR4/FEEH0/SX302.wav,T OW F UW IH Z M EY D F R AH M P R AA S EH S T S OY B IY N Z,T OW F UW IH Z M EY D F R AH M P R AA S EH S T S OY B IY N Z,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
41,WITH HER SHARP TONGUE SHE'D HAVE CUT HIS POMPOUSNESS TO RIBBONS ,TRAIN/DR4/FEEH0/SI1742.wav,W IH DH HH ER SH AA R P T AH NG SH IY D HH AE V K AH T HH IH Z P AA M P AH S N AH S T UW R IH B AH N Z,W IH DH HH ER SH AA R P T AH NG SH IY D HH AE V K AH T HH IH Z P AA M P AH S N AH S T UW R IH B AH N Z,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
42,I GAVE THEM SEVERAL CHOICES AND LET THEM SET THE PRIORITIES ,TRAIN/DR4/FEEH0/SX212.wav,AY G EY V DH EH M S EH V ER AH L CH OY S AH Z AH N D L EH T DH EH M S EH T DH AH P R AY AO R AH T IY Z,AY G EY V DH EH M S EH V ER AH L CH OY S AH Z AH N D L EH T DH EH M S EH T DH AH P R AY AO R AH T IY Z,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
43,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT ,TRAIN/DR4/FEEH0/SA2.wav,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
44,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR ,TRAIN/DR4/FEEH0/SA1.wav,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
45,A YOUNG MOUSE SCAMPERED ACROSS THE FIELD AND DISAPPEARED ,TRAIN/DR4/FEEH0/SX392.wav,AH Y AH NG M AW S S K AE M P ER D AH K R AO S DH AH F IY L D AH N D D IH S AH P IH R D,AH Y AH NG M AW S S K AE M P ER D AH K R AO S DH AH F IY L D AH N D D IH S AH P IH R D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
46,SUDDENLY MY REFLEXES ARE GONE ,TRAIN/DR4/FEEH0/SI471.wav,S AH D AH N L IY M AY R IY F L EH K S AH Z AA R G AO N,S AH D AH N L IY M AY R IY F L EH K S AH Z AA R G AO N,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
47,IT'S FUN TO ROAST MARSHMALLOWS ON A GAS BURNER ,TRAIN/DR4/FEEH0/SX32.wav,IH T S F AH N T UW R OW S T M AA R SH M EH L OW Z AA N AH G AE S B ER N ER,IH T S F AH N T UW R OW S T M AA R SH M EH L OW Z AA N AH G AE S B ER N ER,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
48,HE WILL SAY THAT OUR COUNTRY IS EVEN NOW A HOMOGENEOUS COMMUNITY ,TRAIN/DR4/FEEH0/SI1112.wav,HH IY W IH L S EY DH AE T AW ER K AH N T R IY IH Z IY V IH N N AW AH HH OW M AH JH IY N IY AH S K AH M Y UW N AH T IY,HH IY W IH L S EY DH AE T AW ER K AH N T R IY IH Z IY V IH N N AW AH HH OW M AH JH IY N IY AH S K AH M Y UW N AH T IY,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
49,ENCYCLOPEDIAS SELDOM PRESENT ANECDOTAL EVIDENCE ,TRAIN/DR4/FEEH0/SX122.wav,IH N S AY K L AH P IY D IY AH Z S EH L D AH M P R EH Z AH N T AE N IH K D OW T AH L EH V AH D AH N S,IH N S AY K L AH P IY D IY AH Z S EH L D AH M P R EH Z AH N T AE N IH K D OW T AH L EH V AH D AH N S,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
50,TORNADOS OFTEN DESTROY ACRES OF FARM LAND ,TRAIN/DR4/MFWK0/SX259.wav,T AO R N EY D OW Z AO F T AH N D IH S T R OY EY K ER Z AH V F AA R M L AE N D,T AO R N EY D OW Z AO F T AH N D IH S T R OY EY K ER Z AH V F AA R M L AE N D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
51,HE PRAISES MANY INDIVIDUALS GENEROUSLY ,TRAIN/DR4/MFWK0/SI619.wav,HH IY P R EY Z IH Z M EH N IY IH N D AH V IH JH AH W AH L Z JH EH N ER AH S L IY,HH IY P R EY Z IH Z M EH N IY IH N D AH V IH JH AH W AH L Z JH EH N ER AH S L IY,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
